Location,Property_Type,Price_Listing,Property_Sqft,Property_Tax,Bed,Bath
"27 - 290 EQUESTRIAN WAY, Cambridge, ON",Single Family,599900,N/A,4300,3,4
"1704 - 55 DUKE STREET W, Kitchener, ON",Condo,449000,N/A,3385,2,1
"4 WILLOW Street Unit# 1105, Waterloo, ON",Condo,868800,N/A,5179,2,2
"206 AMAND Drive, Kitchener, ON",Single Family,950000,2401,5244,3,4
"393 WEBER Street, Kitchener, ON",Single Family,699900,2201,3208,4,3
"393 WEBER Street E, Kitchener, ON",MultiFamily,699900,1650,3208,4,3
"147 DALEWOOD Drive, Kitchener, ON",Single Family,1149000,2038,5550,3,3
"334 UNIVERSITY DOWNS Crescent, Waterloo, ON",Single Family,699000,2162,4288,3,4
"79 KEEWATIN Avenue, Kitchener, ON",Single Family,749000,N/A,3818,3,2
"115 LANCASTER Street W, Kitchener, ON",Single Family,679000,1100,3067,3,2
"57 PATRICIA AVENUE, Kitchener, ON",Single Family,949900,N/A,4709 (2024),6,4
"3 - 122 COURTLAND AVENUE E, Kitchener, ON",Condo,359900,N/A,2202,1,1
"15 YARROW COURT, Kitchener, ON",Single Family,1110000,N/A,5371 (2024),4,4
"124 GENERAL Drive, Kitchener, ON",Single Family,786888,2422,4608,3,3
"937 DUKE Street, Cambridge, ON",Single Family,599999,1394,3426,3,2
"601 - 565 GREENFIELD AVENUE, Kitchener, ON",Condo,379900,N/A,1827 (2024),2,1
"14-18 BRUBACHER STREET, Kitchener, ON",MultiFamily,2499000,N/A,27947,N/A,0
"38 HOWE Drive Unit# 1A, Kitchener, ON",Condo,575000,1400,2813,3,2
"7 ROSEBERRY Lane, Kitchener, ON",Single Family,649000,1437,3864,2,3
"27 - 265 WILLIAMSBURG ROAD, Kitchener, ON",Condo,499900,N/A,2304,4,3
"567 HALBERSTADT CIRCLE, Cambridge, ON",Single Family,879900,N/A,4148,6,4
"318 SPRUCE STREET Street Unit# 1903, Waterloo, ON",Condo,374999,N/A,3156,1,1
"22 EZRA Avenue, Waterloo, ON",MultiFamily,1200000,2004,9747,10,4
"223 ERB Street W Unit# 205, Waterloo, ON",Condo,479900,1045,4136,2,2
"206 BAKER Street, Waterloo, ON",Single Family,895000,2183,4912,3,3
"5 WAKE ROBIN Drive Unit# 211, Kitchener, ON",Condo,399900,603,2737,1,1
"35 BRECKENRIDGE Drive Unit# 33, Kitchener, ON",Condo,439900,N/A,1839,2,1
"1618 - 258A SUNVIEW STREET, Waterloo, ON",Condo,439000,N/A,2878,2,1
"249 GREY SILO Road Unit# 201, Waterloo, ON",Condo,769000,1354,4581,2,2
"264 PINELAND Place, Waterloo, ON",Single Family,699900,N/A,4263,3,2
"23 BONNYLYN Drive, Kitchener, ON",Single Family,840000,N/A,4455,5,3
"664B COLUMBIA FOREST Boulevard, Waterloo, ON",Single Family,699900,N/A,3716,3,3
"20 PAULANDER Drive Unit# 21, Kitchener, ON",Condo,575000,1096,2418,3,3
"8 MCKENZIE Avenue, Kitchener, ON",Single Family,650000,1814,3462,3,2
"46 CEDARWOODS Crescent Unit# 51, Kitchener, ON",Condo,500000,1471,2126,3,2
"23 BONNYLYN Drive, Kitchener, ON",MultiFamily,840000,N/A,4455,5,3
"59 BRYBECK Crescent, Kitchener, ON",MultiFamily,1390000,6168,9508,12,6
"79 STAMFORD STREET, Woolwich, ON",Single Family,799900,N/A,3902,3,2
"93 TREMAINE DRIVE, Kitchener, ON",Single Family,1599900,N/A,10068,7,5
"255 KEATS Way Unit# 804, Waterloo, ON",Condo,595000,1326,4237,2,2
"258 SUNVIEW STREET, Waterloo, ON",Condo,439000,N/A,2900,2,1
"93 TREMAINE Drive, Kitchener, ON",MultiFamily,1599900,5707,10068,7,5
"115 CROSSMORE CRESCENT, Cambridge, ON",Single Family,1169000,N/A,7783,4,4
"18 BOSWORTH CRESCENT, Kitchener, ON",Single Family,649999,N/A,3442 (2024),3,2
"237 KING Street W Unit# 307, Cambridge, ON",Condo,349900,763,2157,1,2
"88 - 70 WILLOWRUN DRIVE, Kitchener, ON",Condo,669900,N/A,1982,4,4
"60 FREDERICK STREET Street Unit# 2812, Kitchener, ON",Condo,428000,503,2854,2,1
"273 HERITAGE Drive, Kitchener, ON",Single Family,615000,1443,3236,3,2
"215 WEBER Street E, Kitchener, ON",Single Family,599900,2007,3704,3,2
"107 GLENCLIFFE Court, Kitchener, ON",Single Family,930000,2102,5524,4,4
"360 UNIVERSITY DOWNS Crescent, Waterloo, ON",Single Family,750000,N/A,4225,3,3
"124 WESTHEIGHTS Drive, Kitchener, ON",Single Family,875000,2559,4133,3,3
"294 FALLOWFIELD Drive, Kitchener, ON",Single Family,1149900,3736,5702,5,3
"155 ST LEGER Street Unit# 114, Kitchener, ON",Condo,455000,831,3169,2,2
"802 ROBERT FERRIE Drive, Kitchener, ON",Single Family,850000,2028,5307,3,3
"107 HELENA FEASBY Street, Kitchener, ON",Single Family,996000,2849,4969,3,4
"692 SALZBURG DRIVE, Waterloo, ON",Single Family,1429900,N/A,6286,5,4
"524 BEECHWOOD Drive Unit# 2, Waterloo, ON",Condo,639888,2030,2902,3,3
"116 WELLINGTON Street N, Kitchener, ON",Single Family,600000,N/A,3394,3,2
"98 STIEFELMEYER Crescent, Baden, ON",Single Family,750000,1340,3360,3,2
"185 THALER Avenue, Kitchener, ON",Condo,415000,1527,2024,3,2
"87 WESTWOOD Crescent, Kitchener, ON",Single Family,535000,1766,3092,3,2
"525 NEW DUNDEE Road Unit# 609, Kitchener, ON",Condo,725000,951,N/A,2,2
"82 PONY Way E, Kitchener, ON",Single Family,829000,2371,4633,3,3
"23 TUDOR Street, Kitchener, ON",Single Family,799900,N/A,5231,4,4
"699 THOMAS SLEE Drive, Kitchener, ON",Single Family,929900,1943,5855,3,3
"S704 - 330 PHILIP STREET, Waterloo, ON",Condo,510000,N/A,N/A,2,1
"46 CHERRY STREET, Kitchener, ON",Single Family,1095000,N/A,N/A,4,3
"126 TARTAN Avenue, Kitchener, ON",Single Family,1199900,2400,6390,4,4
"95 FRANKLIN STREET N, Kitchener, ON",MultiFamily,1899900,N/A,10000,4,6
"942 MOORE STREET, Cambridge, ON",Single Family,599000,N/A,4634,4,2
"23 WILHELM Street, Kitchener, ON",Single Family,800000,2655,N/A,6,3
"23 WILHELM Street, Kitchener, ON",MultiFamily,800000,2655,5091,6,3
"32 GILDNER STREET, Kitchener, ON",Single Family,600000,N/A,N/A,4,2
"680 PELHAM Street, Waterloo, ON",Single Family,1149000,3002,N/A,4,4
"2602 HURON Road, New Hamburg, ON",Single Family,1099000,N/A,N/A,3,2
"T201 - 62 BALSAM STREET E, Waterloo, ON",Condo,689900,N/A,N/A,3,3
"525 NEW DUNDEE Road Unit# 406, Kitchener, ON",Condo,665000,842,N/A,1,1
"48 TEMPLAR Court, Cambridge, ON",Single Family,799999,1200,N/A,4,2
"10 PALACE Street Unit# D1, Kitchener, ON",Condo,399900,885,N/A,2,2
"152 BUSH CLOVER Crescent, Kitchener, ON",Single Family,680000,1909,4044,4,3
"110 FERGUS Avenue Unit# 124, Kitchener, ON",Condo,499900,660,N/A,2,1
"122 OAT Lane, Kitchener, ON",Condo,599900,1220,3467,2,3
"104 GARMENT Street Unit# 2106, Kitchener, ON",Condo,439900,760,N/A,2,1
", Waterloo, ON",Condo,450000,N/A,N/A,2,2
"119B BLAIR ROAD, Cambridge, ON",Vacant Land,1599900,N/A,3000,N/A,0
"92 PEBBLECREEK Drive, Kitchener, ON",Single Family,1095000,2153,5715,4,4
"10 PALACE Street Unit# B10, Kitchener, ON",Condo,449900,780,2507,2,2
"131 ACTIVA AVENUE, Kitchener, ON",Single Family,599900,N/A,N/A,3,2
"776 PARIS BOULEVARD, Waterloo, ON",Single Family,699000,N/A,3348,3,4
"53 HETT Avenue, Kitchener, ON",Single Family,589000,N/A,3245,3,2
"46 CHERRY Street, Kitchener, ON",MultiFamily,1095000,2528,N/A,4,3
"103 ROGER Street Unit# 306, Waterloo, ON",Condo,638000,918,2500,2,2
"175 DAVID BERGEY Drive Unit# M62, Kitchener, ON",Condo,675000,1942,3195,3,3
", Waterloo, ON",Single Family,685000,N/A,N/A,3,2
"249 GREY SILO Road Unit# 307, Waterloo, ON",Condo,699900,1095,N/A,2,2
"5 MANOR Drive, Kitchener, ON",Single Family,599000,1640,N/A,3,3
"189 PARK Street, Waterloo, ON",Single Family,1295000,1800,N/A,3,2
"185 PARK Street, Waterloo, ON",Single Family,1285000,2800,N/A,4,3
"535 WINDFLOWER Crescent Unit# 50, Kitchener, ON",Condo,500000,N/A,N/A,2,2
"130 GREENBRIER Drive, Waterloo, ON",Single Family,799000,N/A,N/A,5,3
"2602 HURON Road, New Hamburg, ON",Agricultural,1099000,N/A,N/A,3,2
"24 MIDLAND Drive Unit# 301, Kitchener, ON",Single Family,239900,930,N/A,2,1
"45 KENNETH Avenue, Kitchener, ON",Single Family,650000,1838,3704,3,2
"208 - 247 NORTHFIELD DRIVE E, Waterloo, ON",Condo,430000,N/A,2400,1,1
"0 CONSERVATION Drive, Waterloo, ON",Vacant Land,3000000,N/A,N/A,N/A,0
"255 MAITLAND Street Unit# 2C, Kitchener, ON",Condo,549900,1212,N/A,2,2
"11 HENHOEFFER Crescent, Kitchener, ON",Single Family,789900,1660,N/A,3,2
"41 JADESTONE COURT, Kitchener, ON",Single Family,1299999,N/A,7454,6,6
"5 KRAFTWOOD Place, Waterloo, ON",Single Family,2795000,N/A,N/A,5,4
