Location,Property_Type,Price_Listing,Property_Sqft,Property_Tax,Bed,Bath
"66 SUMMIT Avenue, Kitchener, ON",Rental,2980,"1,902 SQFT","$4,264",4,2
"110 FERGUS Avenue Unit# 201, Kitchener, ON",Rental,1950,683 SQFT,N/A,1,1
"251 NORTHFIELD Drive Unit# 602, Waterloo, ON",Rental,2450,800 SQFT,N/A,2,2
"461 TREMBLING ASPEN Avenue, Waterloo, ON",Rental,3100,"1,363 SQFT",N/A,3,2
"28 WESTHILL Drive Unit# 417, Waterloo, ON",Rental,2510,850 SQFT,N/A,2,2
"28 WESTHILL Drive Unit# 411, Waterloo, ON",Rental,2420,830 SQFT,N/A,2,2
"1200 COURTLAND Avenue E Unit# 45, Kitchener, ON",Rental,1999,990 SQFT,"$1,467",2,1
"1 - 413 BAIRSTOW CRESCENT, Waterloo, ON",Rental,3100,Not listed,N/A,3,2
"502 - 51 DAVID STREET, Kitchener, ON",Rental,1950,Not listed,N/A,1,1
"525 NEW DUNDEE Road Unit# 205, Kitchener, ON",Rental,2250,811 SQFT,N/A,1,1
"580 HIGHPOINT Avenue Unit# Upper, Waterloo, ON",Rental,2450,"1,150 SQFT",N/A,3,1
"241 FERN Crescent, Waterloo, ON",Rental,3950,"2,900 SQFT",N/A,4,4
"5 - 231 BECKER STREET, Kitchener, ON",Rental,2500,Not listed,N/A,3,2
"12 OAT Lane, Kitchener, ON",Rental,2300,930 SQFT,N/A,0,2
"126 PEACH BLOSSOM Crescent, Kitchener, ON",Rental,3400,"1,617 SQFT",N/A,4,3
"101 WOOD Street, Kitchener, ON",Rental,4800,"1,885 SQFT",N/A,3,3
"72 ERB Street E Unit# 101, Waterloo, ON",Rental,2095,686 SQFT,N/A,1,1
"144 PARK Street Unit# 1502, Waterloo, ON",Rental,2799,958 SQFT,N/A,3,2
"600 VICTORIA Street S Unit# 7, Kitchener, ON",Rental,2400,"1,055 SQFT",N/A,2,2
"318 DOLPH Street S Unit# 1, Cambridge, ON",Rental,1975,740 SQFT,N/A,2,1
"1674H FISCHER HALLMAN Road, Kitchener, ON",Rental,2095,963 SQFT,N/A,2,1
"15 WELLINGTON Street S Unit# 2312, Kitchener, ON",Rental,1925,625 SQFT,N/A,1,1
"261 WOODBINE Avenue Unit# 41, Kitchener, ON",Rental,2350,"1,280 SQFT",N/A,2,3
"108 GARMENT Street S Unit# 608, Kitchener, ON",Rental,2600,788 SQFT,N/A,2,2
"15 WELLINGTON Street Unit# 304, Kitchener, ON",Rental,2500,730 SQFT,N/A,3,2
"407 - 60 FREDERICK STREET, Kitchener, ON",Rental,2650,Not listed,N/A,2,2
"953 CREEKSIDE Drive Unit# B, Waterloo, ON",Rental,1600,628 SQFT,"$3,744",0,1
"420 NEWMAN Drive Unit# 23, Cambridge, ON",Rental,2695,"1,588 SQFT",N/A,3,3
"BSMNT - 456 TWINLEAF STREET, Waterloo, ON",Rental,2150,Not listed,N/A,2,1
"94 ROBERT PEEL Road, Kitchener, ON",Rental,2550,"1,512 SQFT","$4,175",2,3
"47 EVA DRIVE, Woolwich, ON",Rental,2850,Not listed,N/A,3,4
"23 - 570 LINDEN DRIVE, Cambridge, ON",Rental,3000,Not listed,N/A,3,3
"100 OLD CARRIAGE Drive Unit# A301, Kitchener, ON",Rental,1950,870 SQFT,N/A,2,1
"424 ARGYLE Street S Unit# 1, Cambridge, ON",Rental,1700,400 SQFT,N/A,1,1
"231 MAX BECKER Drive Unit# 5, Kitchener, ON",Rental,2500,"1,662 SQFT",N/A,3,2
